	blood_group	job	sex	name	company	race	ssn	birthdate	current_location
887	B+	Insurance underwriter	M	Dennis Williams	Anderson Inc	blsck	423-40-5449	1947-07-26	(Decimal('-51.209321'), Decimal('138.660026'))
888	B+	Press sub	F	Mrs. Katherine Wolf	Bowman LLC	White	663-73-4201	05/25/1984, 00:00:00	(Decimal('-36.8018425'), Decimal('27.044992'))
889	A-	Writer	F	Shannon Chang	Robertson-Davis	White	294-28-8047	02 Dec 1989	(Decimal('13.8754365'), Decimal('150.124340'))
890	B+	Corporate investment banker	F	Morgan Peterson	Wright Group	Asian	496-60-5687	18 Jun 1920	(Decimal('-13.900947'), Decimal('-129.671417'))
891	O+	Journalist, magazine	F	Cathy Dean	May, Mclaughlin and Steele	Asian	779-61-1579	02 Nov 1945	(Decimal('28.4947015'), Decimal('-54.960359'))
892	AB+	Journalist, broadcasting	M	Gregory Hall	Smith-Walker	Black	732-41-8474	09 Jun 1970	(Decimal('-34.6110375'), Decimal('-53.532712'))
893	A-	Engineer, mining	M	Thomas Norris	Johnson, Rodriguez and Snow	Asian	294-27-8780	2013-10-21	(Decimal('-33.195958'), Decimal('-155.720446'))
894	B-	Physiological scientist	F	Kimberly Summers	Parker, Day and Vargas	Indian	499-84-0198	12 Feb 1998	(Decimal('-47.917451'), Decimal('-87.645385'))
895	AB+	Event organiser	F	Pamela Nguyen	Hayes, Woods and Perry	Black	170-47-1174	2015/06/20	(Decimal('-78.701022'), Decimal('-70.705529'))
896	B-	Medical illustrator	F	Jessica Olson	Smith Ltd	White	017-84-0408	11 Mar 1968	(Decimal('61.980208'), Decimal('110.142517'))
897	O-	Engineer, mining	M	Keith Gordon	Baker-Bright	Black	049-44-9320	24 Oct 1921	(Decimal('-4.643537'), Decimal('59.704248'))
898	A+	Bonds trader	M	Benjamin Smith	Holland, Berry and Best	White	049-04-4022	1950/07/07	(Decimal('-55.839885'), Decimal('-155.343360'))
899	O-	Air traffic controller	M	Douglas Gibbs	Potts-Hubbard	Black	194-10-9380	20 Apr 1920	(Decimal('13.458702'), Decimal('-171.498373'))
900	O+	Television/film/video producer	F	Kimberly Lynch	Hill, Mason and Wilkerson	Black	085-86-1749	1983-08-22	(Decimal('-71.679641'), Decimal('97.722009'))
901	O-	Horticulturist, commercial	F	Krystal Hurst	Valencia-Turner	Black	810-71-6653	02 Feb 1914	(Decimal('-52.8925475'), Decimal('178.503752'))
902	O+	Tourist information centre manager	F	Caitlin Ortiz	Castillo-Moore	White	399-34-8424	05/14/2018, 00:00:00	(Decimal('88.901982'), Decimal('136.271143'))
903	A-	Counselling psychologist	F	Cheryl Mullen	Lindsey, Henry and Baker	White	013-87-2629	25 Feb 1955	(Decimal('-27.7794605'), Decimal('178.010888'))
904	A+	Administrator, arts	M	Michael Rivas	Huff-Mcmillan	Asian	231-06-7412	06 Nov 2006	(Decimal('18.735483'), Decimal('4.371658'))
905	B-	Housing manager/officer	M	Kyle Tran	Bennett-Hines	White	862-28-4799	2014-12-11	(Decimal('-66.2502165'), Decimal('20.756550'))
906	O-	Psychotherapist, child	M	James Hughes	Burnett, Bowman and Rich	Asian	047-18-0760	1936/02/08	(Decimal('31.8932825'), Decimal('-61.726370'))
907	O-	Hydrologist	M	Kevin Lopez	Rush PLC	White	130-11-0812	29 Sep 1971	(Decimal('17.7929085'), Decimal('28.379131'))
908	A+	Gaffer	F	Katherine Armstrong	Logan-Evans	Black	402-24-4203	1961/03/02	(Decimal('89.667383'), Decimal('64.633701'))
909	O-	Engineer, mining	M	William Weeks	Richardson, Reynolds and Myers	White	107-50-3852	05/13/1921, 00:00:00	(Decimal('-12.8051875'), Decimal('-124.991020'))
910	O-	Museum/gallery exhibitions officer	F	Joyce Taylor	Carroll-Clark	Hawaiian	644-47-9945	04 Jan 1952	(Decimal('55.0594565'), Decimal('-47.293009'))
911	A-	Chief Technology Officer	F	Kristin Campbell	Saunders-Reed	Indian	387-46-4429	11/30/1918, 00:00:00	(Decimal('-43.1843335'), Decimal('89.178488'))
912	O+	Video editor	F	Shirley Sanchez	Moore, Taylor and Torres	White	877-40-3229	08/22/2021, 00:00:00	(Decimal('84.7054815'), Decimal('-88.576128'))
913	AB-	Chiropractor	M	Kenneth Black	Stephens, Freeman and Harris	Black	811-25-3926	25 Mar 1948	(Decimal('42.4405115'), Decimal('136.148364'))
914	AB+	Ergonomist	M	Andrew Coleman	Black, Hill and Ward	Black	812-70-5944	03/24/1947, 00:00:00	(Decimal('-11.325685'), Decimal('47.641301'))
915	O+	Therapist, nutritional	F	Tracy Simpson	Willis, Jones and Key	White	631-19-2183	1929-01-07	(Decimal('80.4725405'), Decimal('132.636677'))
916	B-	Tourist information centre manager	F	Jessica Burke	Espinoza Ltd	Black	587-24-1947	2004-01-14	(Decimal('13.2440025'), Decimal('-150.711225'))
917	AB-	Engineer, maintenance	F	Linda Perkins	Barry Group	White	612-95-6302	2016/11/01	(Decimal('22.9049645'), Decimal('1.542613'))
918	A-	Music tutor	F	Jessica Campbell	Harper Group	Asian	638-74-7693	28 Sep 1951	(Decimal('60.706246'), Decimal('-19.681034'))
919	AB-	Multimedia programmer	F	Alexis Liu	Rosales and Sons	Black	845-51-5460	1947/11/19	(Decimal('24.8126055'), Decimal('-48.221713'))
920	A-	Dealer	M	James Wade	Smith and Sons	Black	647-40-7078	04/09/1986, 00:00:00	(Decimal('-35.1221855'), Decimal('152.555058'))
921	A-	Senior tax professional/tax inspector	F	Tiffany Andrews	Mckay-Hoffman	White	501-44-2902	1958/02/28	(Decimal('32.2714595'), Decimal('139.248060'))
922	B-	Theatre stage manager	M	Mr. Norman Rowland	James-Chaney	White	641-10-3473	21 Jun 1909	(Decimal('-61.0127235'), Decimal('3.337786'))
923	AB-	Media planner	F	Sherry Johnson	Randall LLC	White	548-71-0097	1928-08-16	(Decimal('-59.752743'), Decimal('101.471428'))
924	A-	Scientist, research (medical)	F	Wanda Matthews	Ray Group	Asian	277-67-9098	2011-06-18	(Decimal('69.396101'), Decimal('88.288674'))
925	A+	Operational investment banker	M	Brandon Herman	Kerr-Shepherd	Asian	840-75-9418	1916/03/09	(Decimal('-83.684910'), Decimal('-161.483120'))
926	AB-	Control and instrumentation engineer	M	Thomas Nelson	Sullivan-Warner	black	384-40-7642	24 Mar 1966	(Decimal('-4.511519'), Decimal('-124.233589'))
927	B+	Surveyor, building	F	Sandra Hinton	Gross, Smith and Mitchell	White	731-85-4586	01/20/1992, 00:00:00	(Decimal('55.0677325'), Decimal('-25.270079'))
928	B+	Analytical chemist	F	Jennifer Fuentes	Becker, Price and Lewis	White	563-27-7547	1942/06/10	(Decimal('52.3871535'), Decimal('-170.143245'))
929	AB-	Waste management officer	F	Cathy May	Eaton-Johnson	White	584-29-7390	1988/12/23	(Decimal('-65.922157'), Decimal('-116.396877'))
930	A+	Surveyor, quantity	M	Larry Herrera	Jackson, Spencer and Lynn	Black	570-69-4266	24 Jan 1957	(Decimal('-73.8453215'), Decimal('120.035556'))
931	O-	Sound technician, broadcasting/film/video	M	Andrew Benson	Martinez Ltd	White	605-17-8959	27 Dec 1931	(Decimal('89.1589495'), Decimal('9.988376'))
932	AB-	Social research officer, government	F	Meghan Evans	Garcia, Parker and Richardson	Indian	672-77-3619	07 Oct 1924	(Decimal('25.2599525'), Decimal('-150.443182'))
933	O-	Stage manager	F	Kayla Durham	Hunter Inc	White	527-66-1600	1945-07-15	(Decimal('-23.849684'), Decimal('127.456191'))
934	A+	Network engineer	F	Lindsay Harrington	Franco-Dawson	Asian	773-31-6088	11/11/1965, 00:00:00	(Decimal('-78.6080975'), Decimal('32.117496'))
935	A-	Quarry manager	M	Gary Schneider DVM	Cruz, Reid and Bass	Hawaiian	324-04-8856	05 Jan 1979	(Decimal('7.703701'), Decimal('124.951171'))
936	O+	Museum/gallery conservator	F	Brianna Smith	Davidson-Potter	White	301-56-2100	05/22/2017, 00:00:00	(Decimal('42.520022'), Decimal('153.999510'))
937	AB-	Engineer, structural	M	Joshua Eaton	Baker, Beck and Long	Asian	267-90-0867	1918-08-04	(Decimal('-77.133741'), Decimal('97.255677'))
938	O-	Mechanical engineer	F	Kristin Ford	James-Dunn	Black	662-36-5593	1968/06/08	(Decimal('1.5197975'), Decimal('-125.781978'))
939	AB-	Surveyor, mining	F	Debra Becker	Schmidt-Barrett	White	471-95-5237	29 Sep 1963	(Decimal('2.2657985'), Decimal('-19.973616'))
940	A+	Research officer, political party	F	Lindsay Taylor	Calhoun, Miller and Baker	Hawaiian	342-38-1190	09/08/1948, 00:00:00	(Decimal('-72.360235'), Decimal('-167.681281'))
941	A+	Psychologist, forensic	M	Caleb Rowe	Contreras, Duncan and Colon	Black	365-97-4632	1994/05/25	(Decimal('-77.245587'), Decimal('-101.364371'))
942	AB+	Librarian, public	F	Melanie Castro	Castillo-Clark	Asian	337-69-5784	02 Dec 1927	(Decimal('-1.4573795'), Decimal('81.094966'))
943	AB-	Merchant navy officer	F	Judith Miller	Zimmerman and Sons	White	344-93-7591	04/03/1955, 00:00:00	(Decimal('23.930396'), Decimal('33.375867'))
944	AB-	Engineer, land	F	Rebecca Atkins	Hall-Chan	Black	499-54-4261	1998-06-16	(Decimal('23.9987405'), Decimal('-12.713344'))
945	AB-	Occupational psychologist	F	Amanda Clark	Buck LLC	Hawaiian	888-42-7868	1926-04-03	(Decimal('45.2750895'), Decimal('-103.365060'))
946	A+	Financial planner	M	Nathan Brown	Coleman, Baker and Johnston	Black	325-86-6973	07/29/1917, 00:00:00	(Decimal('18.381771'), Decimal('20.680280'))
947	O-	Tree surgeon	F	Michelle Wells	Michael-Vazquez	White	023-91-7638	07/30/1971, 00:00:00	(Decimal('-3.045898'), Decimal('-80.609604'))
948	AB+	Contracting civil engineer	M	Scott Jordan	Snyder Ltd	White	894-68-2708	2002/09/07	(Decimal('23.9702455'), Decimal('-57.737085'))
949	O+	Forensic scientist	F	Jane Bates	Vega-Hurst	Black	852-66-4148	10/11/2010, 00:00:00	(Decimal('-79.078676'), Decimal('169.224235'))
950	O+	Politician's assistant	M	Wesley Mercer	Gray-Atkins	White	198-97-4485	07/05/1907, 00:00:00	(Decimal('-32.8564125'), Decimal('68.047996'))
951	O+	Magazine features editor	M	Samuel Harrell	Jones Ltd	Indian	132-55-1135	1938/06/24	(Decimal('-63.333323'), Decimal('-177.497674'))
952	A+	Careers information officer	F	Jill Lewis	Zamora LLC	Asian	296-17-4482	2006-12-10	(Decimal('15.2577065'), Decimal('-117.769306'))
953	A-	Solicitor	F	Holly Campbell	Duran PLC	Black	169-01-0622	1985/11/02	(Decimal('-80.1841635'), Decimal('97.451609'))
954	O+	Accommodation manager	F	Jennifer Colon	Gonzalez, Wilson and Holt	White	596-31-4769	10 May 1975	(Decimal('77.011539'), Decimal('85.379092'))
955	AB+	Further education lecturer	M	Michael Jones	Jones-Christian	White	187-21-3934	1989-09-11	(Decimal('-59.865905'), Decimal('-57.576375'))
956	O-	Holiday representative	F	Teresa Bradley	Flores PLC	White	519-29-2401	18 Jun 1921	(Decimal('-67.495924'), Decimal('107.173667'))
957	B-	Chiropractor	M	Michael Williams	Ramsey Ltd	White	490-82-8697	1942/04/18	(Decimal('-5.7424565'), Decimal('-64.357949'))
958	A+	Television production assistant	F	Lisa Lopez	Roberts-Hopkins	Black	539-04-3116	1952/05/01	(Decimal('-80.765241'), Decimal('-35.943685'))
959	A-	Chartered public finance accountant	F	Laura Hill	Johnson, Scott and Walker	Asian	163-99-5410	04/11/1979, 00:00:00	(Decimal('-54.1717115'), Decimal('-60.008123'))
960	AB+	Housing manager/officer	M	Ronald Esparza	Mack, Carrillo and Merritt	White	403-42-5517	21 Oct 1982	(Decimal('-72.437307'), Decimal('22.094963'))
961	O-	Quality manager	F	Jordan Castro	Miller, Sharp and Johnson	Black	877-64-4937	08/26/1970, 00:00:00	(Decimal('2.6035275'), Decimal('-32.065475'))
962	A-	Government social research officer	F	Laura Jones	Middleton and Sons	White	035-55-4450	27 Apr 1974	(Decimal('72.810671'), Decimal('-104.237671'))
963	B+	Chartered management accountant	M	James Garcia	Gomez-Haynes	White	332-22-1260	1997/04/21	(Decimal('60.1966375'), Decimal('-136.351569'))
964	O-	Scientist, marine	M	Mr. Steven Coleman	Shaffer-Bullock	Black	390-63-8806	14 Oct 1935	(Decimal('40.8242075'), Decimal('37.949863'))
965	B+	Health promotion specialist	M	Joshua Wilson	Anderson-Davidson	White	844-88-1111	11/08/1963, 00:00:00	(Decimal('-59.6435245'), Decimal('-103.246782'))
966	AB+	Clinical embryologist	F	Heather Martinez	Elliott-Freeman	black	704-32-7443	27 Mar 1968	(Decimal('1.486381'), Decimal('109.107691'))
967	B-	Chemist, analytical	F	Lisa Scott	Brennan, Underwood and Wright	Asian	021-55-4621	04/15/1936, 00:00:00	(Decimal('-81.7502445'), Decimal('-142.944051'))
968	O-	Dramatherapist	F	Mrs. Kimberly Galvan	Cooper, Ballard and Johnson	Asian	151-89-5668	1910/02/06	(Decimal('-30.055766'), Decimal('157.524474'))
969	O-	Radiographer, diagnostic	M	Chad Adams	Willis Inc	White	590-94-5626	1981-01-28	(Decimal('-0.156543'), Decimal('3.702622'))
970	O-	IT technical support officer	M	Tristan Roberson	Cervantes, Davila and Clay	Black	619-07-8899	05 Aug 1983	(Decimal('8.8505575'), Decimal('133.394748'))
971	O+	Energy manager	F	Hannah Fuentes	Blake-Gonzalez	Black	178-13-3128	1933/10/19	(Decimal('-45.300633'), Decimal('5.301743'))
972	O-	Designer, fashion/clothing	F	Monica Guzman	Evans Group	Black	846-82-6907	1918/10/13	(Decimal('-15.4050405'), Decimal('-66.577377'))
973	O-	Chartered legal executive (England and Wales)	F	Lisa Gray	Delgado, Nguyen and Hawkins	Black	826-37-3422	26 Feb 1989	(Decimal('33.194582'), Decimal('11.438078'))
974	B-	Camera operator	F	Erica Todd	Davis-Rodriguez	Asian	451-67-3662	15 Jul 1980	(Decimal('-57.234938'), Decimal('135.656573'))
975	AB+	Science writer	F	Paige Flowers	Stewart-York	White	719-18-3103	2001/07/28	(Decimal('13.871741'), Decimal('114.673311'))
976	O+	Designer, multimedia	M	William Garner	Anderson-Lewis	White	581-60-9209	26 Nov 1905	(Decimal('-86.736284'), Decimal('4.836080'))
977	AB-	Equality and diversity officer	F	Julie Thomas	Riggs-Maddox	Asian	785-34-2471	20 Feb 1949	(Decimal('-14.4666045'), Decimal('53.742942'))
978	B-	Engineer, mining	M	Todd Ferguson	Snyder, Orr and Hughes	White	223-83-6494	05/16/2006, 00:00:00	(Decimal('42.117368'), Decimal('141.220028'))
979	AB-	Meteorologist	F	Jamie Morales	Larson-Larson	White	722-93-5372	06/28/1988, 00:00:00	(Decimal('49.457568'), Decimal('-126.016014'))
980	AB+	Physiological scientist	M	Robert Wilkins	Mitchell Ltd	blsck	744-39-9471	07/08/1980, 00:00:00	(Decimal('21.9555085'), Decimal('26.562645'))
981	B+	Press sub	M	Michael Johnston	Thompson-Anderson	White	048-04-0174	1926-06-30	(Decimal('29.516659'), Decimal('-58.032840'))
982	O-	Advertising copywriter	M	Kenneth James	Fernandez Inc	Black	538-56-5538	2016-02-16	(Decimal('-34.164379'), Decimal('155.091384'))
983	O-	Research scientist (medical)	F	Mary Stout	Wilson-Mendez	Black	568-35-6727	2001-05-27	(Decimal('80.418466'), Decimal('9.582534'))
984	B-	Product designer	F	Mary Green	Golden, Mccann and Hoover	White	304-56-6928	2017/05/14	(Decimal('-78.616638'), Decimal('19.736976'))
985	O+	Editorial assistant	F	Whitney Shaw	Miller PLC	White	393-77-7537	01/07/1923, 00:00:00	(Decimal('63.4728015'), Decimal('105.829857'))
986	B-	Trade mark attorney	M	Daniel Molina	Oneill LLC	Black	483-39-5766	31 Dec 1908	(Decimal('-49.312804'), Decimal('-157.890571'))
987	AB+	Clinical cytogeneticist	F	Michelle Green	Hall Inc	Black	896-34-2905	1925/11/14	(Decimal('5.559453'), Decimal('95.253348'))
988	AB-	Merchandiser, retail	M	Adam Moran	Cunningham, Savage and Neal	Black	361-29-9984	08/19/1963, 00:00:00	(Decimal('87.5057765'), Decimal('84.824682'))
989	A-	Jewellery designer	M	Jerry Hanna	Logan, Rogers and Mahoney	Black	256-94-2250	08/23/1974, 00:00:00	(Decimal('-8.526714'), Decimal('-125.105391'))
990	AB-	Translator	M	Justin Nielsen	Harris, Mejia and Wilson	Asian	498-85-6743	27 Jun 1914	(Decimal('0.895882'), Decimal('-177.169818'))
991	O+	Music tutor	F	Jessica Wade	Brown LLC	Asian	395-96-2995	08/12/1993, 00:00:00	(Decimal('7.5232265'), Decimal('-61.282736'))
992	B+	Wellsite geologist	M	Curtis Gonzalez	Allen-Spence	White	298-26-4328	21 Nov 1974	(Decimal('-12.3779015'), Decimal('-157.965282'))
993	AB+	Actuary	M	Brent Gonzalez	Wiley Ltd	Black	156-78-2967	31 May 1944	(Decimal('-36.5158675'), Decimal('151.098033'))
994	A+	Medical sales representative	M	Daniel Johnson	Walls-Smith	Indian	622-14-4771	18 Mar 1949	(Decimal('41.9159705'), Decimal('100.485894'))
995	A+	Therapist, sports	F	Denise Frederick	Hendrix Group	White	710-27-4832	1940/01/31	(Decimal('-66.835992'), Decimal('-36.087774'))
996	O-	Secondary school teacher	F	Valerie Holloway	Andrade-Stewart	White	859-24-5158	1936/08/10	(Decimal('26.827947'), Decimal('-176.635606'))
997	O+	Theme park manager	F	Erika Anderson	Meza, Vega and Werner	Black	336-44-3188	2020-10-07	(Decimal('-89.143386'), Decimal('147.586941'))
998	A+	Civil engineer, contracting	M	Timothy Hicks	Ochoa Group	Black	716-70-5438	2018-11-19	(Decimal('28.193053'), Decimal('-170.911283'))
999	B+	Communications engineer	M	Terry Peterson	Fowler PLC	Black	170-49-0430	1972-01-27	(Decimal('-63.7826215'), Decimal('-169.144679'))
1000	O+	Games developer	M	Gary Lara	Welch PLC	Asian	532-19-5767	20 Aug 1923	(Decimal('-86.391273'), Decimal('-156.733324'))
1001	A-	Engineer, broadcasting (operations)	F	Teresa Mckee	Johnson, Stokes and Diaz	Indian	202-52-0941	1908-10-16	(Decimal('27.7543075'), Decimal('75.155145'))
1002	O+	Social research officer, government	M	Joshua Erickson	Knight-Johnson	White	581-55-3691	1963-10-12	(Decimal('54.2443535'), Decimal('-26.207647'))
1003	A+	Radiographer, diagnostic	F	Kristen Ayala	Buck, Bishop and Barker	White	145-47-6965	1972/08/20	(Decimal('43.2991085'), Decimal('130.704641'))
1004	O+	Production manager	F	Rhonda Smith	Powell Inc	Black	577-55-4881	1908-11-20	(Decimal('-39.3916085'), Decimal('-53.909820'))
1005	AB-	Teacher, adult education	M	Daniel Pearson	Bradley-Johnson	White	164-80-7062	1929-11-18	(Decimal('-54.7314955'), Decimal('110.715827'))
1006	O+	Gaffer	M	Thomas Foster	Barnes-Jones	White	893-76-6037	1913-11-09	(Decimal('-45.353585'), Decimal('-121.944251'))
1007	B-	Paediatric nurse	F	Janice Smith	Ball Group	White	216-27-5975	08/11/2017, 00:00:00	(Decimal('-70.843388'), Decimal('-151.917575'))
1008	B-	Insurance broker	M	Ryan Strickland	Murphy PLC	Asian	429-23-8268	1946/03/25	(Decimal('-88.7303205'), Decimal('62.629841'))
1009	B+	Pensions consultant	M	Tyler Olson	Curtis, Ellison and Henderson	White	554-42-7892	1914/02/20	(Decimal('-74.929005'), Decimal('-74.079363'))
1010	AB-	Investment analyst	F	Nicole Johnson	Williams-Perez	white	837-46-9006	15 Nov 2003	(Decimal('-6.4709245'), Decimal('26.996473'))
1011	A+	Drilling engineer	M	Matthew Blevins	Becker, Baldwin and Lopez	Black	838-56-2810	1916-09-15	(Decimal('83.3827215'), Decimal('54.887702'))
1012	AB+	Arts administrator	M	Christopher Cortez	Soto-Chan	Black	548-78-1335	22 Oct 1958	(Decimal('30.3994785'), Decimal('-137.802858'))
1013	O-	Meteorologist	F	Dana Johnson	Taylor Ltd	Asian	225-47-2091	07/18/1957, 00:00:00	(Decimal('-77.663197'), Decimal('-151.966287'))
1014	AB+	Data scientist	M	Joseph Adkins	Arias Ltd	Asian	579-37-1159	1915/08/24	(Decimal('1.9970515'), Decimal('-97.312957'))
1015	A+	Media buyer	M	Kevin Phillips	Wilcox, Jones and Kemp	White	079-33-5866	07 Jan 1986	(Decimal('-34.242980'), Decimal('68.530726'))
1016	A-	Trade mark attorney	F	Nicole Atkins	Avila-Jones	White	896-94-1972	01/04/1977, 00:00:00	(Decimal('-45.4004195'), Decimal('126.840425'))
1017	AB+	Patent examiner	M	Terry Hunt	Jackson-Schroeder	black	008-12-6011	01/13/1952, 00:00:00	(Decimal('-32.590679'), Decimal('168.071895'))
1018	AB+	Jewellery designer	F	Jessica Hines	Williams, Hernandez and Jones	White	685-25-2449	06 Jan 1913	(Decimal('17.608751'), Decimal('-162.656082'))
1019	A+	Wellsite geologist	F	Jennifer Madden	Brennan and Sons	blsck	708-89-2735	1964/08/30	(Decimal('-69.706993'), Decimal('-16.324172'))
1020	AB-	Dancer	F	Amy Wilson	Holmes Group	Hawaiian	124-29-1649	11/15/2008, 00:00:00	(Decimal('82.865613'), Decimal('-0.536789'))
1021	AB+	Forensic psychologist	M	Bruce Mcdonald	Deleon, Beasley and Ramos	Asian	312-69-5516	08/13/1983, 00:00:00	(Decimal('-57.2427395'), Decimal('-59.311955'))
1022	O-	Administrator	M	Timothy Carroll	Edwards-Walker	black	740-96-2995	1999/04/10	(Decimal('-34.2464375'), Decimal('14.610204'))
1023	B+	Designer, blown glass/stained glass	F	Karen Jones	Martinez-Freeman	White	797-83-2862	20 Dec 1943	(Decimal('-62.5785835'), Decimal('-81.929920'))
1024	O+	Diagnostic radiographer	F	Jaime Smith	Mack, Fernandez and Guerrero	White	595-47-5800	1927-03-20	(Decimal('85.2599385'), Decimal('25.655434'))
1025	A+	Dentist	F	Mary Carpenter	Patton, Pierce and Dennis	Black	305-18-3975	1989-01-31	(Decimal('-57.8056885'), Decimal('28.277586'))
1026	AB-	Printmaker	M	Gabriel Ho	Wong-Hernandez	White	783-32-2729	14 Jun 1947	(Decimal('39.387430'), Decimal('-150.395173'))
1027	O-	Financial adviser	M	Brandon Miller	Vincent-Mitchell	Asian	268-13-6812	1972-02-10	(Decimal('57.0837465'), Decimal('89.107279'))
1028	A+	Education officer, community	M	Dylan Evans	Garcia LLC	Black	801-42-8474	03/27/1930, 00:00:00	(Decimal('12.7020345'), Decimal('-85.550830'))
1029	O+	Chief Operating Officer	F	Brenda Leon	Weaver-Spencer	White	236-32-3378	1945-09-22	(Decimal('-42.149485'), Decimal('92.214920'))
1030	O-	Intelligence analyst	M	Justin Thomas	Allen, Brown and Nelson	Asian	246-63-7576	22 May 1943	(Decimal('9.852707'), Decimal('47.897348'))
1031	A+	Editor, film/video	M	Daniel Alvarado	Pruitt-Garcia	Asian	343-66-8144	16 Sep 2008	(Decimal('83.1940835'), Decimal('39.524127'))
1032	AB+	Passenger transport manager	F	Leslie Jordan	Collins-Ray	White	041-95-5493	30 Jun 1978	(Decimal('62.612218'), Decimal('12.840461'))
1033	AB-	Management consultant	F	Robin Morrow	Carr Ltd	White	203-34-2292	05 Apr 2001	(Decimal('-44.350726'), Decimal('72.585089'))
1034	AB+	Arts administrator	F	Madison Ferguson	Pruitt Group	White	616-14-5229	1993/11/22	(Decimal('-33.3785935'), Decimal('3.160771'))
1035	B+	IT sales professional	F	Denise Dillon	Patterson-Schneider	Indian	200-94-0881	12/06/1959, 00:00:00	(Decimal('7.032638'), Decimal('-126.506338'))
1036	B+	Oncologist	F	Rachel Bentley	Moore-Williams	White	135-10-3665	12/04/2001, 00:00:00	(Decimal('-72.510248'), Decimal('-156.955094'))
1037	AB-	Designer, fashion/clothing	M	Kenneth Sandoval	Larson, Prince and Wilkins	Black	745-43-4974	2005/01/21	(Decimal('-31.9833525'), Decimal('54.826110'))
1038	O-	Psychologist, prison and probation services	F	Michelle Johnson	Trevino, Thompson and Jimenez	Asian	477-26-6226	31 Dec 1932	(Decimal('49.021059'), Decimal('110.771620'))
1039	AB+	Tree surgeon	M	Mr. Joseph Cummings	Burgess-Reid	White	004-28-3072	12/23/1930, 00:00:00	(Decimal('32.6590045'), Decimal('115.438073'))
1040	O+	Merchandiser, retail	F	Heather Paul	Patterson Ltd	White	875-19-7963	07/20/2015, 00:00:00	(Decimal('75.4260555'), Decimal('135.581689'))
1041	AB+	Animal nutritionist	F	Amanda Charles	Cooper, Combs and Leblanc	White	078-86-7157	11/18/1967, 00:00:00	(Decimal('-42.1385505'), Decimal('22.758368'))
1042	O-	Health service manager	F	Jennifer White	Gardner, Phelps and Mullen	black	546-80-7150	1914-03-14	(Decimal('-26.4600945'), Decimal('-83.224262'))
1043	B-	Lawyer	M	Kevin Taylor II	Scott-Ryan	White	831-04-6214	06 Jan 2005	(Decimal('-83.5880665'), Decimal('-107.187860'))
1044	B+	Forest/woodland manager	F	Erin Nelson	Jones Ltd	White	173-70-9830	1952/12/03	(Decimal('-89.4579915'), Decimal('-28.074175'))
1045	B+	Outdoor activities/education manager	M	Matthew Diaz	Ruiz LLC	White	838-08-3337	09/03/1933, 00:00:00	(Decimal('-35.291057'), Decimal('-11.853497'))
1046	A-	Armed forces training and education officer	F	Rebecca Kramer	Spencer-Day	Asian	119-36-8556	11/03/1924, 00:00:00	(Decimal('-77.490438'), Decimal('51.410870'))
1047	O-	Museum/gallery exhibitions officer	F	Anna Arroyo	Prince and Sons	White	751-72-5317	1978-04-14	(Decimal('77.712107'), Decimal('-22.803041'))
1048	O-	Industrial buyer	F	Karen Peterson	Velasquez-Garner	Black	427-23-2353	07/05/1952, 00:00:00	(Decimal('73.4627595'), Decimal('-80.571226'))
1049	A-	Buyer, industrial	M	Stephen Sellers DVM	Villegas-Gutierrez	White	300-12-1618	1933-08-22	(Decimal('-57.260713'), Decimal('-86.943842'))
1050	A-	Solicitor	M	Jesse Spencer	Alvarez-Watson	White	275-79-6206	1948-03-05	(Decimal('51.232705'), Decimal('-12.795794'))
1051	A-	Education officer, community	F	Amy Salinas	Rodriguez-Mckay	White	431-95-6324	1965-08-12	(Decimal('-25.9934095'), Decimal('122.651050'))
1052	B-	Manufacturing engineer	M	Austin Olson	Cooley Group	White	859-82-2424	1960/10/18	(Decimal('18.914176'), Decimal('-35.875897'))
1053	B+	Commissioning editor	F	Gina Cross	Castillo and Sons	White	035-27-0076	03/14/1999, 00:00:00	(Decimal('-29.2861215'), Decimal('-136.004213'))
1054	B-	Horticulturist, amenity	M	Vincent Howe	Beck, Turner and Hebert	White	743-91-7446	1910-11-07	(Decimal('-70.387792'), Decimal('143.589882'))
1055	B+	Engineer, production	F	Lisa Thompson	Dawson, Davis and Cameron	Indian	055-67-3116	21 Mar 1942	(Decimal('-10.971727'), Decimal('-169.491863'))
1056	B+	Aid worker	F	Susan Fleming	Salazar, Woodard and Patrick	White	618-39-7941	06/21/1959, 00:00:00	(Decimal('-86.645955'), Decimal('-94.310972'))
1057	O-	Transport planner	F	Teresa Smith	Smith Inc	White	717-30-1956	1953/08/23	(Decimal('34.9763385'), Decimal('125.733662'))
1058	AB-	Sport and exercise psychologist	F	Ann Pierce	Pearson PLC	White	309-18-8537	1922/04/22	(Decimal('22.2915815'), Decimal('-29.151982'))
1059	A+	Nurse, children's	M	James Ingram	Huff LLC	Black	705-34-3662	1982/12/27	(Decimal('-36.909713'), Decimal('-21.465662'))
1060	B-	Technical author	F	Anna Garcia	Garcia, Marshall and Bartlett	White	676-62-6368	12 Aug 1906	(Decimal('-85.481557'), Decimal('111.952910'))
1061	A+	Programmer, applications	M	Wayne Estes	Brown Ltd	Indian	301-59-1042	09/13/1958, 00:00:00	(Decimal('-2.4819215'), Decimal('-15.258267'))
